Level,Damage per Second,Hitpoints,Research Cost elixir-icon,Laboratory Level,Research time,Available at
1,7,20,-,-,-, townhall townhall3
2,9,23,30000,1,0 days 3 hours, townhall townhall3
3,12,28,80000,3,0 days 6 hours, townhall townhall5
4,16,33,300000,5,0 days 12 hours, townhall townhall7
5,20,40,800000,6,1 day, townhall townhall8
6,22,44,2000000,7,1 days 12 hours, townhall townhall9
7,25,48,2500000,8,2 days 12 hours, townhall townhall10
8,28,52,3200000,9,3 days 12 hours, townhall townhall11
9,31,56,6300000,10,7 days, townhall townhall12
10,34,60,14500000,12,13 days, townhall townhall14
11,37,64,16000000,13,14 days, townhall townhall15
