Level,Damage per Second,Damage per Hit,Cost dark-elixir-icon,Regen Time,Ability Level,Build Time,Hitpoints,Town hall Level Required
1,160,120,10000,10m,-,Instant,725, townhall townhall9
2,164,123,11000,10m,-,0 days 4 hours,740, townhall townhall9
3,168,126,12000,10m,-,0 days 6 hours,755, townhall townhall9
4,172,129,13000,10m,-,0 days 8 hours,771, townhall townhall9
5,176,132,15000,12m,1,0 days 10 hours,787, townhall townhall9
6,181,135.75,16000,12m,1,0 days 12 hours,804, townhall townhall9
7,185,138.75,17000,12m,1,0 days 14 hours,821, townhall townhall9
8,190,142.5,18000,12m,1,0 days 16 hours,838, townhall townhall9
9,194,145.5,19000,12m,1,0 days 18 hours,856, townhall townhall9
10,199,149.25,20000,14m,2,0 days 20 hours,874, townhall townhall9
11,204,153,22000,14m,2,0 days 22 hours,892, townhall townhall9
12,209,156.75,24000,14m,2,1 day,911, townhall townhall9
13,215,161.25,26000,14m,2,1 days 8 hours,930, townhall townhall9
14,220,165,28000,14m,2,1 days 16 hours,949, townhall townhall9
15,226,169.5,30000,16m,3,2 days,969, townhall townhall9
16,231,173.25,32000,16m,3,2 days,990, townhall townhall9
17,237,177.75,34000,16m,3,2 days,1010, townhall townhall9
18,243,182.25,36000,16m,3,2 days,1032, townhall townhall9
19,249,186.75,38000,16m,3,2 days,1053, townhall townhall9
20,255,191.25,40000,18m,4,2 days 12 hours,1076, townhall townhall9
21,262,196.5,42000,18m,4,2 days 12 hours,1098, townhall townhall9
22,268,201,44000,18m,4,2 days 12 hours,1121, townhall townhall9
23,275,206.25,46000,18m,4,2 days 12 hours,1145, townhall townhall9
24,282,211.5,48000,18m,4,2 days 12 hours,1169, townhall townhall9
25,289,216.75,50000,20m,5,3 days,1193, townhall townhall9
26,296,222,52000,20m,5,3 days,1218, townhall townhall9
27,304,228,54000,20m,5,3 days,1244, townhall townhall9
28,311,233.25,56000,20m,5,3 days,1270, townhall townhall9
29,319,239.25,58000,20m,5,3 days,1297, townhall townhall9
30,327,245.25,60000,22m,6,4 days,1324, townhall townhall9
31,335,251.25,63000,22m,6,4 days,1352, townhall townhall10
32,344,258,66000,22m,6,4 days,1380, townhall townhall10
33,352,264,69000,22m,6,4 days,1409, townhall townhall10
34,361,270.75,72000,22m,6,4 days,1439, townhall townhall10
35,370,277.5,75000,24m,7,5 days,1469, townhall townhall10
36,379,284.25,78000,24m,7,5 days,1500, townhall townhall10
37,389,291.75,81000,24m,7,5 days,1532, townhall townhall10
38,398,298.5,84000,24m,7,5 days,1564, townhall townhall10
39,408,306,87000,24m,7,5 days,1597, townhall townhall10
40,419,314.25,90000,26m,8,6 days,1630, townhall townhall10
41,429,321.75,96000,26m,8,6 days,1664, townhall townhall11
42,440,330,102000,26m,8,6 days,1699, townhall townhall11
43,451,338.25,108000,26m,8,6 days,1735, townhall townhall11
44,462,346.5,114000,26m,8,6 days,1771, townhall townhall11
45,474,355.5,120000,28m,9,6 days 12 hours,1809, townhall townhall11
46,486,364.5,126000,28m,9,6 days 12 hours,1847, townhall townhall11
47,498,373.5,132000,28m,9,6 days 12 hours,1885, townhall townhall11
48,510,382.5,138000,28m,9,6 days 12 hours,1925, townhall townhall11
49,523,392.25,144000,28m,9,6 days 12 hours,1965, townhall townhall11
50,536,402,150000,30m,10,6 days 12 hours,2007, townhall townhall11
51,547,410.25,156000,30m,10,7 days,2058, townhall townhall12
52,558,418.5,162000,30m,10,7 days,2110, townhall townhall12
53,570,427.5,168000,30m,10,7 days,2163, townhall townhall12
54,582,436.5,172000,30m,10,7 days,2218, townhall townhall12
55,594,445.5,180000,32m,11,7 days,2274, townhall townhall12
56,606,454.5,187000,32m,11,7 days,2331, townhall townhall12
57,619,464.25,194000,32m,11,7 days,2390, townhall townhall12
58,632,474,201000,32m,11,7 days,2450, townhall townhall12
59,645,483.75,208000,32m,11,7 days,2512, townhall townhall12
60,658,493.5,215000,34m,12,7 days,2575, townhall townhall12
61,671,503.25,220000,34m,12,7 days,2639, townhall townhall12
62,684,513,225000,34m,12,7 days,2705, townhall townhall12
63,698,523.5,230000,34m,12,7 days,2773, townhall townhall12
64,712,534,235000,34m,12,7 days,2842, townhall townhall12
65,726,544.5,240000,36m,13,7 days,2913, townhall townhall12
66,739,554.25,250000,36m,13,7 days 12 hours,2980, townhall townhall13
67,751,563.25,260000,36m,13,7 days 12 hours,3040, townhall townhall13
68,762,571.5,270000,36m,13,7 days 12 hours,3095, townhall townhall13
69,772,579,280000,36m,13,7 days 12 hours,3145, townhall townhall13
70,781,585.75,290000,38m,14,8 days,3190, townhall townhall13
71,789,591.75,292000,38m,14,8 days,3230, townhall townhall13
72,796,597,294000,38m,14,8 days,3270, townhall townhall13
73,802,601.5,296000,38m,14,8 days,3310, townhall townhall13
74,808,606,298000,38m,14,8 days,3350, townhall townhall13
75,814,610.5,300000,40m,15,8 days,3390, townhall townhall13
76,820,615,306000,40m,15,8 days,3425, townhall townhall14
77,825,618.75,312000,40m,15,8 days,3460, townhall townhall14
78,830,622.5,318000,40m,15,8 days,3495, townhall townhall14
79,835,626.25,324000,40m,15,8 days,3530, townhall townhall14
80,840,630,330000,42m,16,8 days,3565, townhall townhall14
