Level,Gold Cost,Build Time,Town hall Level Required
1,250,10 seconds, townhall townhall1
2,1000,15 minutes, townhall townhall1
3,4000,45 minutes, townhall townhall2
4,16000,0 days 1 hour, townhall townhall3
5,50000,0 days 4 hours, townhall townhall4
6,100000,0 days 8 hours, townhall townhall5
7,200000,0 days 8 hours, townhall townhall6
8,300000,0 days 12 hours, townhall townhall7
9,500000,0 days 12 hours, townhall townhall8
10,700000,1 day, townhall townhall8
11,1000000,1 days 12 hours, townhall townhall9
12,1200000,2 days, townhall townhall10
13,1700000,3 days, townhall townhall10
14,2100000,5 days, townhall townhall11
15,3200000,6 days, townhall townhall11
16,4900000,9 days, townhall townhall12
17,6300000,12 days, townhall townhall12
18,8200000,15 days, townhall townhall13
19,9800000,16 days, townhall townhall13
20,16500000,17 days, townhall townhall14
21,18000000,17 days, townhall townhall15
