Level,Damage per Second,Damage per Attack,Hitpoints,Research Cost elixir-icon,Laboratory Level,Research time,Available at
1,11,22,300,-,-,-, townhall townhall4
2,14,28,360,40000,2,0 days 4 hours, townhall townhall4
3,19,38,450,150000,4,0 days 8 hours, townhall townhall6
4,24,48,600,500000,5,0 days 12 hours, townhall townhall7
5,31,62,800,1200000,6,1 day, townhall townhall8
6,43,86,1100,2000000,7,2 days, townhall townhall9
7,55,110,1300,3000000,8,3 days 12 hours, townhall townhall10
8,62,124,1500,3500000,9,5 days 12 hours, townhall townhall11
9,70,140,1850,6300000,10,9 days, townhall townhall12
10,78,156,2000,10000000,11,11 days 6 hours, townhall townhall13
11,86,172,2200,16500000,13,16 days, townhall townhall15
