Level,Gold Cost,Build Time,Town hall Level Required
1,300000,0 days 3 hours, townhall townhall7
2,450000,0 days 8 hours, townhall townhall7
3,650000,0 days 16 hours, townhall townhall7
4,850000,1 day, townhall townhall8
5,1100000,2 days, townhall townhall8
6,1300000,3 days, townhall townhall8
7,1800000,4 days, townhall townhall9
8,2500000,6 days, townhall townhall10
9,4500000,10 days, townhall townhall11
10,8000000,14 days, townhall townhall12
11,13000000,16 days, townhall townhall13
12,15000000,17 days, townhall townhall13
13,18000000,18 days, townhall townhall14
