Level,Elixir Cost,Build Time,Town hall Level Required
1,5000,1 minute, townhall townhall3
2,25000,0 days 1 hour, townhall townhall4
3,50000,0 days 2 hours, townhall townhall5
4,100000,0 days 4 hours, townhall townhall6
5,200000,0 days 8 hours, townhall townhall7
6,400000,0 days 16 hours, townhall townhall8
7,800000,1 day, townhall townhall9
8,1300000,1 days 18 hours, townhall townhall10
9,2100000,2 days 18 hours, townhall townhall11
10,4200000,4 days 6 hours, townhall townhall12
11,6800000,6 days 18 hours, townhall townhall13
12,11500000,11 days 12 hours, townhall townhall14
13,12500000,12 days, townhall townhall15
