Level,Damage per Second,Hitpoints,Research Cost dark-elixir-icon,Laboratory Level,Research time,Available at
1,35,55,-,-,-, townhall townhall7
2,38,60,3000,5,0 days 8 hours, townhall townhall7
3,42,66,7000,6,0 days 16 hours, townhall townhall8
4,46,72,15000,6,1 day, townhall townhall8
5,50,78,25000,7,2 days, townhall townhall9
6,54,84,35000,8,3 days 12 hours, townhall townhall10
7,58,90,63000,9,5 days, townhall townhall11
8,62,96,105000,10,9 days 18 hours, townhall townhall12
9,66,102,188000,11,11 days 12 hours, townhall townhall13
10,70,108,285000,12,15 days 12 hours, townhall townhall14
11,74,114,310000,13,16 days 12 hours, townhall townhall15
