Level,Damage per Second,Hitpoints,Research Cost dark-elixir-icon,Research time,Available at
1,181,1250,-,-, townhall townhall15
2,192,1300,215000,3 days, townhall townhall15
3,203,1350,225000,4 days, townhall townhall15
4,214,1400,235000,5 days, townhall townhall15
5,225,1450,245000,5 days 12 hours, townhall townhall15
6,236,1500,255000,6 days, townhall townhall15
7,247,1550,265000,6 days 12 hours, townhall townhall15
8,258,1600,275000,7 days, townhall townhall15
9,269,1650,285000,7 days 12 hours, townhall townhall15
10,280,1700,295000,8 days, townhall townhall15
