Name,Level,Cost gold-coin-icon,Damage,Re-Arm Cost gold-coin-icon,Build Time,Town hall Level Required,Damage per Second,Damage per Shot,Hitpoints,Push Strength,Research Cost elixir-icon,Laboratory Level,Research time,Available at,Damage per Hit,Cost dark-elixir-icon,Regen Time,Ability Level,Cost elixir-icon,Troop Capacity,Damage per Attack,Unit Queue Length,Unlocks,Damage Upon Death,Bats Generated,Spell Duration,Research Cost dark-elixir-icon,Spell Capacity,Cloned Troop Space,Production Rate dark-elixir-icon,Capacity dark-elixir-icon,Storage Capacity dark-elixir-icon,Load Cost elixir-icon,Production Rate elixir-icon,Capacity elixir-icon,Storage Capacity elixir-icon,Freeze time,Damage Radius,Number of Targets,Production Rate gold-coin-icon,Capacity gold-coin-icon,Storage Capacity gold-coin-icon,Speed Increase,Healing per Second,Healing per Pulse,Healing per Second on Heroes,Total Healing,Freeze Upon Death,Load Cost dark-elixir-icon,Multiple Mode,Lava Pups Spawned,Maximum Damage per Second,Speed Decrease,Attack Rate Decrease,Damage Increase,Skeletons Generated,Spawned Units,Spring Capacity,Cumulative Cost,Damage Against Walls,Skeletons Summoned
Air_Bomb,9,6500000,325,2400.0,8 days 12 hours, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Air_Defense,12,17000000,,,17 days, townhall townhall14,500,500.0,1650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer,10,,,,,,34,,60,,14500000,12,13 days, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer_Queen,76,,,,8 days, townhall townhall14,820,,3425,,,,,,615.0,306000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer_Queen,77,,,,8 days, townhall townhall14,825,,3460,,,,,,618.75,312000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer_Queen,78,,,,8 days, townhall townhall14,830,,3495,,,,,,622.5,318000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer_Queen,79,,,,8 days, townhall townhall14,835,,3530,,,,,,626.25,324000.0,40m,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer_Queen,80,,,,8 days, townhall townhall14,840,,3565,,,,,,630.0,330000.0,42m,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Archer_Tower,20,16500000,,,16 days 6 hours, townhall townhall14,140,70.0,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baby_Dragon,8,,,,,,145,,1900,,17000000,12,16 days 12 hours, townhall townhall14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
