Name,Quantity,Level,Build Time,Town hall Level Required
Air_Bomb,2,1,Instant, townhall townhall5
Air_Bomb,2,2,0 days 4 hours, townhall townhall5
Air_Defense,1,3,0 days 16 hours, townhall townhall5
Archer_Tower,3,5,0 days 8 hours, townhall townhall5
Archer_Tower,3,6,0 days 8 hours, townhall townhall5
Army_Camp,3,5,0 days 8 hours, townhall townhall5
Barrack,1,7,0 days 18 hours, townhall townhall5
Bomb,4,3,0 days 2 hours, townhall townhall5
Cannon,3,6,0 days 8 hours, townhall townhall5
Elixir_Collector,5,9,0 days 10 hours, townhall townhall5
Elixir_Collector,5,10,0 days 12 hours, townhall townhall5
Elixir_Storage,2,9,0 days 8 hours, townhall townhall5
Gold_Mine,5,9,0 days 10 hours, townhall townhall5
Gold_Mine,5,10,0 days 12 hours, townhall townhall5
Gold_Storage,2,9,0 days 8 hours, townhall townhall5
Laboratory,1,3,0 days 2 hours, townhall townhall5
Mortar,1,3,0 days 16 hours, townhall townhall5
Spell_Factory,1,1,0 days 8 hours, townhall townhall5
Wall,100,5,, townhall townhall5
Wizard_Tower,1,1,0 days 3 hours, townhall townhall5
Wizard_Tower,1,2,0 days 8 hours, townhall townhall5
